Article ID,Article Title,Category,URL,Last Updated,Topics Covered,Content Type,Word Count,Has Screenshots,Content Hash
45,How can I add collaborators to my project?,zipBoard Users,https://help.zipboard.co/article/45-how-can-i-add-collaborators-to-my-project,2024-10-22,Categories,Guide,77,Yes,f63ece066e38c5a243fdf75fc89f8afe
135,How do I Work with Clients in zipBoard?,zipBoard Users,https://help.zipboard.co/article/135-how-do-i-work-with-clients-in-zipboard,2025-01-24,"Enhanced Client Sharing with zipBoard, Ready to Try zipBoard?, 👉Next:",Guide,629,Yes,e93701841549b875a98d2dd4a1d2255a
259,How to Invite Collaborators to a Project?,zipBoard Users,https://help.zipboard.co/article/259-how-to-invite-collaborator-to-project,2023-11-21,"Related Articles, Categories",Guide,113,Yes,eec19eede6204e896cccfc2cefb14e2a
261,Getting Started as a Collaborator,zipBoard Users,https://help.zipboard.co/article/261-getting-started-as-a-collaborator,2025-07-23,"What can collaborators do in zipBoard?, Step-by-Step Process for Collaborators, Need More Help?",Guide,319,No,f7b25eb6319f8f6620b3cc992b517d95
73,"What’s the difference between Super Admin, Admin, Manager, Collaborator, Client, Guest Collaborator and Reviewer?",zipBoard Users,https://help.zipboard.co/article/73-what-is-the-difference-between-owner-manager-collaborator-and-client,2024-08-29,"Org Admin/Super Admin:, Admin:, Managers:",Guide,375,No,0f19e2a926045449b12328770608b9cd
164,"What is the ""Add Client"" button for?",zipBoard Users,https://help.zipboard.co/article/164-what-is-the-add-client-button-for,2025-01-24,"Why Do We Have This Feature?, How to Add Clients to Your zipBoard Project, Benefits of Using zipBoard by Industry",Guide,457,Yes,dbfeb9bd0de58049560b44ae7a882b0b
150,How can I manage user roles better with enterprise accounts?,zipBoard Users,https://help.zipboard.co/article/150-how-can-i-manage-user-roles-better-with-enterprise-accounts,2024-10-22,Categories,Guide,343,Yes,17697b07b9acb16afd9610903aa86cf6
122,Adding a collaborator or reviewer account,zipBoard Users,https://help.zipboard.co/article/122-adding-a-collaborator-or-reviewer-account,2024-10-22,Categories,Guide,232,Yes,1ef9fb992ecb63890bc4d5af47c90a07
266,Guides for zipBoard Users,zipBoard Users,https://help.zipboard.co/article/266-comprehensive-guides-for-zipboard,2025-01-24,Categories,Guide,231,No,181aa65d12d0a592ee83cbe0d49fafb9
123,Adding a Manager Account,zipBoard Users,https://help.zipboard.co/article/123-adding-a-manager-account,2024-08-29,Categories,Guide,171,Yes,9a8815e4ac2d1a1788095407a5f34ed2
63,How do I Integrate zipBoard with JIRA?,Knowledge Base,https://help.zipboard.co/article/63-how-do-i-integrate-zipboard-with-jira,2023-12-28,Categories,Guide,351,Yes,462fd7173c42d1dd06c0f32ab50624d8
205,Integrate zipBoard with Wrike & Manage Your Project Better,Knowledge Base,https://help.zipboard.co/article/205-does-zipboard-integrate-with-wrike,2024-10-18,"Related Articles, Categories",Guide,166,Yes,d35e3da7bc99b03be590b12e16932f05
421,Getting Started with the zipBoard Add-in for Microsoft Outlook,Knowledge Base,https://help.zipboard.co/article/421-zipboard-add-in-for-microsoft-outlook,2025-01-21,"Step 1: Installing the zipBoard Add-in, Step 2: Accessing the zipBoard Add-in, Step 3: Logging in to the zipBoard Add-in",Guide,459,Yes,27f1fe5fe19b81594176f466d4e266c5
262,How Secure is zipBoard?,Knowledge Base,https://help.zipboard.co/article/262-how-secure-is-zipboard,2026-02-05,"🖥️ Enterprise-Grade Cloud Infrastructure, 📁 Data Encryption & Transmission, 🎯Access Controls& Internal Security",Guide,512,Yes,c9873e3b7ae5b444b916c575ca8cbf01
295,How do I Integrate zipBoard with LambdaTest?,Knowledge Base,https://help.zipboard.co/article/295-how-integrate-zipboard-lambdatest,2023-12-28,"Step 1: Find zipBoard in LambdaTest, , Step 2: Finding API Key In zipBoard",Guide,280,Yes,71098132455f1a3a83a7ab149278bd5c
443,Document & Content Review Tracking in zipBoard: Ensuring Efficient File Reviews,Knowledge Base,https://help.zipboard.co/article/443-review-tracking-in-zipboard-ensuring-efficient-file-reviews,2025-05-16,"Introducing the Document & Content Review Tracking, Key Features:, Enhancing Efficiency and Collaboration",Guide,404,Yes,14434b5f0237dc9f72a411a28ccf5763
255,How to Work with Microsoft Teams App with zipBoard Integrated in it?,Knowledge Base,https://help.zipboard.co/article/255-how-to-work-with-microsoft-teams-app-with-zipboard-integrated-in-it,2023-12-28,Categories,Guide,187,Yes,2204d29c6028d7919525d126bcd29970
362,How to Enable Camera and Microphone Access,Knowledge Base,https://help.zipboard.co/article/362-how-to-enable-camera-and-video-access,2024-03-16,"Enabling Camera and Video Access in Google Chrome, Step 1: Open Chrome Settings, Step 2: Navigate to Site Settings",Guide,433,Yes,77a9bfee408d3aaafeba10107f848c90
206,How do I Integrate zipBoard with WRIKE,Knowledge Base,https://help.zipboard.co/article/206-how-do-i-integrate-zipboard-with-wrike,2023-12-28,"Related Articles, Categories",Guide,174,Yes,5ac9d46b799e983d4e7293eb150c986e
91,How Can I Import Data to zipBoard?,Knowledge Base,https://help.zipboard.co/article/91-importing-data-to-zipboard,2023-12-05,"Related Articles, Categories",Guide,60,Yes,a71b39788c140c55ee15dcab6da2a355
183,HTTP Status Codes,APIs,https://help.zipboard.co/article/183-http-status-codes,2019-02-20,Categories,Guide,115,No,3d7555fb61e8a4f8811152de96e3ace7
181,API for Issues (Task),APIs,https://help.zipboard.co/article/181-api-for-issues-task,2020-02-18,"Get Tasks, Create Tasks, Update Task",Guide,873,No,f08a2524f5eeb0efbd9b1ed84601d860
178,API for Project,APIs,https://help.zipboard.co/article/178-api-for-project,2021-12-22,"Get Projects, Create Projects, Update Projects",Guide,827,No,bb7840580755f99a23f37d51bda73f54
180,API for Review Links,APIs,https://help.zipboard.co/article/180-api-for-review-links,2025-01-21,"Get Review Links, Delete Review Link, Create Review Link",Guide,507,No,dfbd68f13e0e8ca8cf213fe7884d4409
237,API for Organization,APIs,https://help.zipboard.co/article/237-api-for-organization,2021-05-25,"Get Organisation, Categories",Guide,193,No,6c72ea21c2a05885d3b44e8920d21fc9
240,Responses,APIs,https://help.zipboard.co/article/240-responses,2020-02-18,"Get Responses, Create Rsponse, GEThttps://app.zipboard.co/api/v1/issues/responses/",Guide,595,No,9e6a39f3e6a630a94f61967d2d92ce58
312,Integrating the zipBoard API into User Application,APIs,https://help.zipboard.co/article/312-integrating-the-zipboard-api-into-user-application,2023-10-03,"Typographic Convention, Data Inputs, Body:",Guide,874,No,03b5208cbea4c42a05773096c0ef5837
351,APIs for Custom Integration,APIs,https://help.zipboard.co/article/351-apis-for-custom-integration,2023-10-03,"Integration Example, Categories",Guide,465,Yes,88b5da5eb5a9e8902ce8166cd7087378
179,API for Files (URL),APIs,https://help.zipboard.co/article/179-api-for-files-url,2020-02-14,"Get Files, Create Files, Update Files",Guide,715,No,2e3e53b1093a08d596d97a4dd9573500
171,API Authentication and URI Structure,APIs,https://help.zipboard.co/article/171-api-authentication-and-uri-structure,2023-11-16,"Related Articles, Categories",Guide,234,Yes,84d7318862280d4acc1b9be393928450
182,API for Issues (Feedback),APIs,https://help.zipboard.co/article/182-api-for-issues-feedback,2019-04-23,"Get Feedback, Create Feedback, Update Feedback",Guide,683,No,74909182e16678bfb33fc435d0ac0688
374,Workflow for all zipBoard Users,Getting Started9articles,https://help.zipboard.co/article/374-zipboard-users-workflow,2024-10-22,", Super Admin Setup:, Super adminsigns up for zipBoard Enterprise.",Guide,309,No,2f0e0b4a74638e32e7fafc79e394c194
73,"What’s the difference between Super Admin, Admin, Manager, Collaborator, Client, Guest Collaborator and Reviewer?",Getting Started9articles,https://help.zipboard.co/article/73-what-is-the-difference-between-owner-manager-collaborator-and-client,2024-08-29,"Org Admin/Super Admin:, Admin:, Managers:",Guide,375,No,0f19e2a926045449b12328770608b9cd
139,Who are referred to as Guests in my zipBoard Project?,Getting Started9articles,https://help.zipboard.co/article/139-who-are-referred-to-as-guests-in-my-zipboard-project,2025-07-23,Categories,Guide,48,Yes,844cf4648111fee7da7068c8c81e5a7d
221,Will the Users Get Notification in zipBoard?,Getting Started9articles,https://help.zipboard.co/article/221-will-the-users-get-notification-in-zipboard,2023-11-21,Categories,Guide,52,Yes,aad7446a7b117013f7ac5b49942ce802
150,How can I manage user roles better with enterprise accounts?,Getting Started9articles,https://help.zipboard.co/article/150-how-can-i-manage-user-roles-better-with-enterprise-accounts,2024-10-22,Categories,Guide,343,Yes,17697b07b9acb16afd9610903aa86cf6
403,Getting Started as Super Admin and Admin in zipBoard,Getting Started9articles,https://help.zipboard.co/article/403-complete-workflow-for-all-zipboard-users,2025-07-25,"Related Articles, Categories",Guide,379,Yes,539e10a0955be86f029233238f5ee833
266,Guides for zipBoard Users,Getting Started9articles,https://help.zipboard.co/article/266-comprehensive-guides-for-zipboard,2025-01-24,Categories,Guide,231,No,181aa65d12d0a592ee83cbe0d49fafb9
375,Roles and Permissions,Getting Started9articles,https://help.zipboard.co/article/375-roles-and-permissions,2024-10-22,"Org Admin/Super Admin:, Admin:, Managers:",Guide,251,No,30c26b0d1bdc386ef74cebd711335934
342,The Different Ways to Invite Reviewers to Get Feedback on Digital Assets,Getting Started9articles,https://help.zipboard.co/article/342-the-different-ways-to-invite-reviewers-to-get-feedback-on-content-or-documents-in-zipboard,2024-08-29,"Collaborators, Clients, Guest Collaborators",Guide,782,No,e4bb790f1b308ced465f0acf566cd0b4
376,Understanding Super Admins & Admins,All About Super Admins & Admins6articles,https://help.zipboard.co/article/376-introduction-to-super-admins,2025-07-23,"Related Articles, Categories",Guide,352,No,27430ce6215b0c09977a885d52271f2d
229,How to Remove Members from an Organization or Project?,All About Super Admins & Admins6articles,https://help.zipboard.co/article/229-how-do-i-remove-members-from-an-organization,2024-08-29,"Related Articles, Categories",Guide,262,Yes,2838d462dc51665ae6489bdbed5eb9d7
76,How do I create an organization? I don’t see the option anywhere.,All About Super Admins & Admins6articles,https://help.zipboard.co/article/76-how-do-i-create-an-organization-i-don-t-see-the-option-anywhere,2023-09-30,Categories,Guide,39,No,57b64e9f0493f8bcd446ff9e26972ca8
403,Getting Started as Super Admin and Admin in zipBoard,All About Super Admins & Admins6articles,https://help.zipboard.co/article/403-complete-workflow-for-all-zipboard-users,2025-07-25,"Related Articles, Categories",Guide,379,Yes,539e10a0955be86f029233238f5ee833
77,Why am I added to all the projects in my organization?,All About Super Admins & Admins6articles,https://help.zipboard.co/article/77-why-am-i-added-to-all-the-projects-in-my-organization,2023-09-30,Categories,Guide,37,No,7aae48b3ff9333a2f1c4e4302c8648c8
232,How to Add Members from an Organization or Project?,All About Super Admins & Admins6articles,https://help.zipboard.co/article/232-how-to-add-members-from-an-organization-or-project,2025-07-23,"Adding Collaborators, Adding Managers, Adding Clients",Guide,418,Yes,2516410ea24e7ae687c3cee04fc99b8b
235,"What is the role of a ""Manager""?",All About Managers7articles,https://help.zipboard.co/article/235-what-is-manager-role,2024-08-29,Categories,Guide,193,No,402288a5ee80f3c2d82c9592db024d39
344,Adding Managers to your account,All About Managers7articles,https://help.zipboard.co/article/344-adding-managers-to-your-account,2024-10-22,Categories,Guide,59,Yes,b4f87684363fdd185b79834688de370e
377,Getting Started as Project Managers,All About Managers7articles,https://help.zipboard.co/article/377-introduction-to-managers,2025-07-25,"Step-by-Step Guide for Project Managers, Need More Help?, Related Articles",Guide,466,No,96fab36d256cf92c28fe86542a71c690
320,What are Managers?,All About Managers7articles,https://help.zipboard.co/article/320-what-are-managers,2024-10-22,Categories,Guide,78,No,16caacdba5fc217fa3ec4e9df4f0433b
229,How to Remove Members from an Organization or Project?,All About Managers7articles,https://help.zipboard.co/article/229-how-do-i-remove-members-from-an-organization,2024-08-29,"Related Articles, Categories",Guide,262,Yes,2838d462dc51665ae6489bdbed5eb9d7
232,How to Add Members from an Organization or Project?,All About Managers7articles,https://help.zipboard.co/article/232-how-to-add-members-from-an-organization-or-project,2025-07-23,"Adding Collaborators, Adding Managers, Adding Clients",Guide,418,Yes,2516410ea24e7ae687c3cee04fc99b8b
123,Adding a Manager Account,All About Managers7articles,https://help.zipboard.co/article/123-adding-a-manager-account,2024-08-29,Categories,Guide,171,Yes,9a8815e4ac2d1a1788095407a5f34ed2
45,How can I add collaborators to my project?,All About Collaborators11articles,https://help.zipboard.co/article/45-how-can-i-add-collaborators-to-my-project,2024-10-22,Categories,Guide,77,Yes,f63ece066e38c5a243fdf75fc89f8afe
261,Getting Started as a Collaborator,All About Collaborators11articles,https://help.zipboard.co/article/261-getting-started-as-a-collaborator,2025-07-23,"What can collaborators do in zipBoard?, Step-by-Step Process for Collaborators, Need More Help?",Guide,319,No,f7b25eb6319f8f6620b3cc992b517d95
259,How to Invite Collaborators to a Project?,All About Collaborators11articles,https://help.zipboard.co/article/259-how-to-invite-collaborator-to-project,2023-11-21,"Related Articles, Categories",Guide,113,Yes,eec19eede6204e896cccfc2cefb14e2a
46,How can I remove collaborators from my project?,All About Collaborators11articles,https://help.zipboard.co/article/46-how-can-i-remove-collaborators-from-my-project,2025-01-09,Categories,Guide,69,Yes,75b1140ab6731020eab25585f2fe0b22
220,Will collaborators get notified by email when they assigned to task/project?,All About Collaborators11articles,https://help.zipboard.co/article/220-will-collaborators-get-notified-by-email-when-they-assigned-to-task-project,2023-09-30,Categories,Guide,46,No,2a5c62a3a272d58e13a929c6dbfe95c0
378,Workflow of Collaborators,All About Collaborators11articles,https://help.zipboard.co/article/378-introduction-to-collaborators,2025-07-23,"Collaborator Content Contribution:, Content Sharing:, Review Process:",Guide,319,No,5cbaa128c0327e65f9ee0b385e06b3d2
233,Will a collaborator get email notification when a reply is added to their feedback?,All About Collaborators11articles,https://help.zipboard.co/article/233-will-a-collaborator-get-email-notification-when-a-reply-is-added-to-his-feedback,2023-09-30,Categories,Guide,45,No,808c10f075883802e211c060358539f4
218,How to Send Emails from zipBoard to Collaborators?,All About Collaborators11articles,https://help.zipboard.co/article/218-email-notification,2023-11-21,Categories,Guide,63,Yes,8de3849e4fe2f6fb9f3864d1cd6501dc
122,Adding a collaborator or reviewer account,All About Collaborators11articles,https://help.zipboard.co/article/122-adding-a-collaborator-or-reviewer-account,2024-10-22,Categories,Guide,232,Yes,1ef9fb992ecb63890bc4d5af47c90a07
138,How are Guest Collaborators different from Guest Reviewers?,All About Collaborators11articles,https://help.zipboard.co/article/138-how-are-guest-collaborators-different-from-guest-reviewers,2025-08-20,"Guest Collaborators:, Workflow for Guest Collaborators, Guest Reviewers:",Guide,545,Yes,a26a838bf6cb88b9eb63e9abb9964503
228,"If I remove a collaborator from my organization or project, what happens to thier tasks and comments?",All About Collaborators11articles,https://help.zipboard.co/article/228-if-i-remove-a-user-from-my-organization-or-project-what-happens-to-there-tasks-and-comments,2024-02-27,Categories,Guide,54,No,06940560594b02406924bec8175dc919
135,How do I Work with Clients in zipBoard?,All About Clients7articles,https://help.zipboard.co/article/135-how-do-i-work-with-clients-in-zipboard,2025-01-24,"Enhanced Client Sharing with zipBoard, Ready to Try zipBoard?, 👉Next:",Guide,629,Yes,e93701841549b875a98d2dd4a1d2255a
264,What is the Client role in Enterprise Plan?,All About Clients7articles,https://help.zipboard.co/article/264-what-is-client-role-in-enterprise-edition,2025-01-24,"What zipBoard Offers, Why It’s Beneficial, Impact Across Industries",Guide,330,Yes,96ceee5258f6339d631c71232fde0863
390,Understanding Client Role in zipBoard,All About Clients7articles,https://help.zipboard.co/article/390-getting-started-as-clients,2025-07-23,"Related Articles, Categories",Guide,179,No,5966030b8f825a311d1373277f4fd94e
402,Getting Started as Clients,All About Clients7articles,https://help.zipboard.co/article/402-workflow-of-clients,2025-07-23,"Related Articles, Categories",Guide,450,Yes,05b6fe21087e035e18ab7db433b0c828
222,Can my client get messages from project team in enterprise edition?,All About Clients7articles,https://help.zipboard.co/article/222-will-my-client-get-messages-from-project-team-in-enterprise-edition,2023-09-30,Categories,Guide,35,Yes,977343112673bb7daad520d5647de7a6
164,"What is the ""Add Client"" button for?",All About Clients7articles,https://help.zipboard.co/article/164-what-is-the-add-client-button-for,2025-01-24,"Why Do We Have This Feature?, How to Add Clients to Your zipBoard Project, Benefits of Using zipBoard by Industry",Guide,457,Yes,dbfeb9bd0de58049560b44ae7a882b0b
131,Can my clients be external collaborators for my zipBoard project?,All About Clients7articles,https://help.zipboard.co/article/131-can-my-clients-be-external-collaborators-for-my-zipboard-project,2023-12-11,Categories,Guide,125,No,b6e83cd8cd5a1decf28449f8d105ed24
433,Getting Started with zipBoard: For Web Designers,Getting Started38articles,https://help.zipboard.co/article/433-getting-started-with-zipboard-for-web-designers,2024-11-26,"Step 1:Set Up Your Project, Step 2:Add Your Website for Review, Step 3:Annotate and Provide Feedback",Guide,514,No,7004a7e529a9c4695f777c40b0f726c1
432,Getting Started with zipBoard: For Learning Designers,Getting Started38articles,https://help.zipboard.co/article/432-getting-started-with-zipboard-for-learning-designers,2024-11-26,"Step 1:Set Up Your Project, Step 2:Upload Learning Materials, Step 3:Annotate and Review Content",Guide,561,No,0c23c4b54abbf09a25ba9fce6c9585b7
203,A Guide to zipBoard,Getting Started38articles,https://help.zipboard.co/article/203-get-the-most-out-of-our-guides-in-zipboard,2024-11-26,"Start Reviewing Content with zipBoard, Reviewing Files without the Plugin, Reviewing URLs/Websites with the Plugin",Guide,263,No,f54ea203889d26284de222e21880c860
434,Getting Started with zipBoard: For Technical Writers,Getting Started38articles,https://help.zipboard.co/article/434-getting-started-with-zipboard-for-technical-writers,2024-11-26,"Step 1:Set Up Your Project, Step 2:Upload Your PDF Document, Step 3:Annotate and Review the Document",Guide,496,No,98ce5f3a465b4665ef618715e0596f08
21,How do I start with zipBoard?,Getting Started38articles,https://help.zipboard.co/article/21-how-do-i-start-with-zipboard,2024-10-22,Categories,Guide,150,Yes,d8f419461875a930e904e4a7b1e5d969
120,How to Log In to zipBoard,Getting Started38articles,https://help.zipboard.co/article/120-log-in-to-zipboard,2024-10-18,"Step 1: Visit the Login Page, Step 2: Enter Your Credentials, Step 3: Forgot Your Password?",Guide,154,Yes,ff6efa15356be2a83d51a60292566e8d
252,Getting Started with zipBoard: A Workflow for Everyone,Getting Started38articles,https://help.zipboard.co/article/252-getting-started-with-zipboard,2024-11-26,"Related Articles, Categories",Guide,977,Yes,9cab78e8280ddad0f11f2b3965ae6e60
343,Annotation Tools Backup,Getting Started38articles,https://help.zipboard.co/article/343-annotation-tools-backup,2024-10-22,"Adding annotations, The various annotation tools at your disposal, A. Comment",Guide,1711,Yes,3620c48b7ba15d4e995f3a6b51f13682
119,How to Sign Up for zipBoard,Getting Started38articles,https://help.zipboard.co/article/119-signing-up-for-zipboard,2025-01-29,"Alternative Sign-Up Options, Single Sign-On (SSO) for Enterprise Users, 👉Next...",Guide,257,Yes,4123de345a843b2e3023c71be34aa020
431,Getting Started with zipBoard: For AEC Professionals,Getting Started38articles,https://help.zipboard.co/article/431-getting-started-with-zipboard-for-aec-professionals,2024-11-26,"Step 1:Upload Construction Documents (PDFs), Step 2:Annotate and Review, Step 3:Version Control",Guide,506,No,5780c39b26b5e7d40286dffcc7b24642
409,Best Practices for Creating SCORM Courses / HTML that Work in zipBoard,Getting Started38articles,https://help.zipboard.co/article/409-best-practices-for-creating-scorm-courses-html-that-work-in-zipboard,2024-05-08,"Understanding zipBoard Functionality, Challenges with Webpages and Courses:, Requirements for Direct Annotation in zipBoard",Guide,496,No,f6710eff51c53d5b80c25cdfdb03b925
321,Does zipBoard have Single Sign-On (SSO)?,Getting Started38articles,https://help.zipboard.co/article/321-does-zipboard-have-sso,2023-10-03,Categories,Guide,44,No,a31637d64e366df94e8f1afc7df8a5b0
195,How is zipBoard Different from Other Bug Tracking Solutions?,Getting Started38articles,https://help.zipboard.co/article/195-how-is-zipboard-different-from-other-solutions,2023-11-22,"Related Articles, Categories",Guide,307,No,868ee601029fd1381e6a7f074384d3c6
273,Collaborate Better with zipBoard,Getting Started38articles,https://help.zipboard.co/article/273-collaborate-better-with-zipboard,2023-11-22,"Related Articles, Categories",Guide,116,Yes,9352e6e77421dd82dc2d78fd1e43fdac
241,How to install Widget and use it ?,Getting Started38articles,https://help.zipboard.co/article/241-how-to-install-widget-and-use-it,2024-10-31,Categories,Guide,382,Yes,25d555235ecaee9a1ccd9b3b2b490024
445,Construction Template for Document Reviews,Getting Started38articles,https://help.zipboard.co/article/445-construction-template-for-document-reviews,2025-05-19,"Common Construction Document Challenges & How This Template Helps:, Phases, Key Phases& What Happens in Each Stage:",Guide,568,Yes,ff284c2d3db709633df26590e157457b
19,How Does zipBoard Help me Build Better Products?,Getting Started38articles,https://help.zipboard.co/article/19-how-does-zipboard-help-me-build-better-products,2023-11-22,"Ease of Use:, Visual Feedback:, Access Permissions:",Guide,114,Yes,6a8b2b1a7741b95c06f44a39ed6878c6
20,How can I use zipBoard for eLearning projects?,Getting Started38articles,https://help.zipboard.co/article/20-how-can-i-use-zipboard-for-elearning-projects,2023-11-22,Categories,Guide,55,No,1987616ee1e10375b752d44db77cf541
362,How to Enable Camera and Microphone Access,Getting Started38articles,https://help.zipboard.co/article/362-how-to-enable-camera-and-video-access,2024-03-16,"Enabling Camera and Video Access in Google Chrome, Step 1: Open Chrome Settings, Step 2: Navigate to Site Settings",Guide,433,Yes,77a9bfee408d3aaafeba10107f848c90
448,Content Development Template for Content Reviews,Getting Started38articles,https://help.zipboard.co/article/448-content-development-template-for-content-reviews,2025-03-14,"Common Content Development Challenges & How This Template Helps:, Phases, Key Phases& What Happens in Each Stage:",Guide,590,Yes,241eb6b2131e3a1ad36669f29edc363a
392,Change Email Address in zipBoard Account,Product Features28articles,https://help.zipboard.co/article/392-change-email-address-in-zipboard-account,2023-12-14,"Related Articles, Categories",Guide,129,Yes,76ace1c57e61609fac29875e9ecad924
417,Getting Started with the zipBoard Outlook Plugin,Product Features28articles,https://help.zipboard.co/article/417-getting-started-with-the-zipboard-outlook-plugin,2024-10-18,"Related Articles, Categories",Guide,363,Yes,4111a853e105e3c868bc1d896a2f1d71
